白银海克斯, 黄金海克斯,棱彩（钻石）大幅增加数值或者改变玩法,"开局，5-6,10-11,15-16,20- 最后一次（进入无限模式）"
质变黄金：获得一个随机的黄金海克斯,质变棱彩,回归基本功：你的其他3张卡牌将失效，但是你每一次跳跃的积分将乘以20%。你的逃逸速度也将提升20%,
greater：你的greater增强15%,我是一团烈火：积分提升14%，速度提升10%,黑色切割者：吃掉你左侧的那张卡牌，并提升属性,
prefecter：你的prefect增强15%,我是一块寒冰，积分提升5%，速度减慢10%,双刀流，每一次完美跳跃的得分得分乘2,
大步流星：你的基础跳跃分数增强30%,大压抑时代：你的前20层将不会得分，后30层的得分将翻倍（没有办法35连击，40连击了）,连击拔锤，连续4次完美跳跃得分乘1.5,
好戏开场了：如此美妙的开局，请为我欢呼，为我喝彩（每一关卡前10层，得分翻倍）,缺牙齿，五次perfect后，下一层台阶上会出现一颗牙齿，但牙齿的那个台阶可能是死路，而且越后期牙齿加的分数越多,向左看齐：角色不再随机跳跃，而是头始终指向一个方向。向左看齐就看向左方，,
完结撒花： 每一关卡最后10层，得分翻倍,再给我一分钟，效果，你死亡后，进入无尽模式，连续跳1分钟,向右看齐：始终看向右方,
,善始善终：每一关卡前10层和最后10层，得分翻倍,最后一只象龟：全局速度减慢15%,
先苦后甜：基础分数从-25分开始计算（只有开始才能拿到）,先甜才是真甜：基础分数从200分开始计算（只有开始才能拿到）（可以被连击相乘 ）,史上超大雪球：万一按错的那一下，按超大雪球主动技能，可以可以反向往上跳3格，重新活下来。冷却要久一点,
俺是耕田滴：果实出现的频率增加30%,精品大果：果实分数增加（50%）,再给我两分钟，效果，你死亡后，进入无尽模式，连续跳2分钟,
吃个汉堡（每层额外获得50分）,吃两个汉堡（每层额外获得100分）,不再完美：你无法再达到完美，Perfect，但你的Great和普通跳跃分数将会提升50%,
,,遗失，失去十层，但你的分数会提升15％（很多时候，失去一些东西，往往是美好的开始）,
,,我建议，滑着走 ： 你现在可以使用手指头来滑动（类似地铁跑酷，左滑右滑，上滑） 这个先不做。,
,,农场主： 果实掉落的频率和分数均大幅增加。,
,备注：果实和牙齿都是生成在平台上：吃一颗+100分，分数会调整，果实的大概在5个台阶生成一颗（计划中）,吃3个汉堡（每层额外获的200分）,
,"连击，是多次great或 perfect达成比如说10次，当前分数 *1.1,20次*1.2 等等，只在当前关卡有效",要找一个类似心之钢的那种连败收菜的（扣前期的得分，增加后期的得分）,
,,还有无限成长的,
